setting,setting_label,round,model,input_csv,output_jsonl,row_count,source,source_url,reused_from
original_ia3,Original IA3,Round1,qwen,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round1/qwen.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round1/qwen_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round1/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/IA3_Qwen2.5-7B-Instruct_ultrafeedback_binarized_hex_5e_moderated.csv,
original_ia3,Original IA3,Round1,mistral,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round1/mistral.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round1/mistral_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round1/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/IA3_Mistral-7B-Instruct-v0.3_ultrafeedback_binarized_hex_5e_moderated.csv,
original_ia3,Original IA3,Round1,llama,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round1/llama.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round1/llama_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round1/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/IA3_Meta-Llama-3-8B-Instruct_ultrafeedback_binarized_hex_5e_moderated.csv,
original_ia3,Original IA3,Round1,gemma,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round1/gemma.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round1/gemma_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round1/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/IA3_gemma-7b-it_ultrafeedback_binarized_hex_5e_moderated.csv,
original_ia3,Original IA3,Round2,qwen,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round2/qwen.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round2/qwen_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round2/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/Qwen2.5-7B-Instruct_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
original_ia3,Original IA3,Round2,mistral,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round2/mistral.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round2/mistral_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round2/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/Mistral-7B-Instruct-v0.3_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
original_ia3,Original IA3,Round2,llama,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round2/llama.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round2/llama_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round2/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/Meta-Llama-3-8B-Instruct_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
original_ia3,Original IA3,Round2,gemma,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round2/gemma.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round2/gemma_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round2/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/gemma-7b-it_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
original_ia3,Original IA3,Round3,qwen,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round3/qwen.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round3/qwen_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round3/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/Qwen2.5-7B-Instruct_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
original_ia3,Original IA3,Round3,mistral,Data/Revision2/GPT41_Safety_Judge/input_not_included/additional_methods/original_ia3/Round3/mistral.csv,Data/Revision2/GPT41_Safety_Judge/results/gpt41_additional_methods/original_ia3/Round3/mistral_gpt41.jsonl,330,replication_package,https://raw.githubusercontent.com/replicationpackagetai/Replication-Package-TAI/main/Data/Models_Reponses/Safety_Hex_PHI/Round3/IA3_SFT/ultrafeedback_binarized/lr_2e-5/5e/Mistral-7B-Instruct-v0.3_ultrafeedback_binarized_hex_lr_2e-5_5e_moderated.csv,
